workload,threads,redline_qps_mean,redline_p99_us,sqlite_qps_mean,sqlite_p99_us,ratio_qps
point-read-pk,1,2437.55,2053.8,756.45,2035.4,3.222
point-read-pk,64,122049.29,591.0,122688.84,826.8,0.995
point-read-pk,128,52478.08,6697.4,48056.45,11736.6,1.092
mixed95-read5-write,32,8578.42,82738.2,1360.74,25999.0,6.304
mixed95-read5-write,64,13037.3,98162.2,1645.54,516863.0,7.923
mixed95-read5-write,128,8030.13,321688.6,1692.79,1800395.8,4.744
mixed50-read50-write,64,1282.91,118552.6,162.32,4320459.8,7.904
writers-disjoint,64,656.11,124299.8,78.88,4667800.6,8.318
hot-row-update,64,16.86,81125.4,78.98,4707941.4,0.213
secondary-index-range,64,1362.86,61279.0,118416.27,888.2,0.012
