Filename                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
jankurai-guard/src/audit_client/mock.rs                     88                 0   100.00%           6                 0   100.00%          76                 0   100.00%           0                 0         -
jankurai-guard/src/audit_client/mod.rs                     170               141    17.06%          11                 7    36.36%         137               108    21.17%           0                 0         -
jankurai-guard/src/cli/handlers.rs                         502               502     0.00%          22                22     0.00%         269               269     0.00%           0                 0         -
jankurai-guard/src/cli/prompt.rs                            27                27     0.00%           3                 3     0.00%          22                22     0.00%           0                 0         -
jankurai-guard/src/commit.rs                               278                51    81.65%          19                 4    78.95%         158                39    75.32%           0                 0         -
jankurai-guard/src/doctor.rs                               186                84    54.84%          14                 5    64.29%         156                72    53.85%           0                 0         -
jankurai-guard/src/feedback/banner.rs                      157                14    91.08%           8                 0   100.00%          81                 4    95.06%           0                 0         -
jankurai-guard/src/feedback/mod.rs                          84                 8    90.48%          10                 0   100.00%          48                 2    95.83%           0                 0         -
jankurai-guard/src/feedback/report.rs                      165                17    89.70%           8                 1    87.50%         108                 8    92.59%           0                 0         -
jankurai-guard/src/fuse/filesystem.rs                      216               216     0.00%          12                12     0.00%         158               158     0.00%           0                 0         -
jankurai-guard/src/fuse/fs_ops.rs                          288               288     0.00%          18                18     0.00%         184               184     0.00%           0                 0         -
jankurai-guard/src/fuse/handles.rs                          42                42     0.00%           7                 7     0.00%          29                29     0.00%           0                 0         -
jankurai-guard/src/fuse/inode.rs                            93                93     0.00%           8                 8     0.00%          65                65     0.00%           0                 0         -
jankurai-guard/src/fuse/mod.rs                              33                30     9.09%           4                 3    25.00%          22                19    13.64%           0                 0         -
jankurai-guard/src/fuse/ops_read.rs                        290               290     0.00%           7                 7     0.00%         112               112     0.00%           0                 0         -
jankurai-guard/src/layout.rs                               179                58    67.60%          18                 4    77.78%         122                39    68.03%           0                 0         -
jankurai-guard/src/lib.rs                                   30                26    13.33%           5                 4    20.00%          24                21    12.50%           0                 0         -
jankurai-guard/src/platform/linux.rs                         8                 8     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
jankurai-guard/src/platform/mod.rs                          45                23    48.89%           7                 4    42.86%          47                27    42.55%           0                 0         -
jankurai-guard/src/poison/mod.rs                           264                43    83.71%          21                 5    76.19%         133                21    84.21%           0                 0         -
jankurai-guard/src/poison/payloads.rs                      149                 0   100.00%           5                 0   100.00%          91                 0   100.00%           0                 0         -
jankurai-guard/src/policy.rs                               174                10    94.25%          21                 2    90.48%         125                 8    93.60%           0                 0         -
jankurai-guard/src/pty/injector.rs                          72                 3    95.83%           6                 0   100.00%          49                 3    93.88%           0                 0         -
jankurai-guard/src/pty/launcher.rs                         247               247     0.00%          16                16     0.00%         170               170     0.00%           0                 0         -
jankurai-guard/src/state.rs                                205                40    80.49%          19                 5    73.68%         108                17    84.26%           0                 0         -
jankurai-guard/src/status.rs                               144                74    48.61%           5                 2    60.00%          90                50    44.44%           0                 0         -
jankurai-guard/src/transaction.rs                          184                26    85.87%          16                 3    81.25%         140                16    88.57%           0                 0         -
jankurai-guard/src/watch/debounce.rs                       159                 7    95.60%          10                 1    90.00%          99                 8    91.92%           0                 0         -
jankurai-guard/src/watch/mod.rs                            329                47    85.71%          16                 2    87.50%         168                19    88.69%           0                 0         -
jankurai-guard/src/watch/watcher.rs                        178                32    82.02%          11                 4    63.64%         105                15    85.71%           0                 0         -
jankurai-proofbind/src/catalog.rs                           90                23    74.44%          10                 2    80.00%          61                11    81.97%           0                 0         -
jankurai-proofbind/src/classify.rs                         369               129    65.04%           8                 0   100.00%         244                81    66.80%           0                 0         -
